Max_spout,Spliters,Counters,Throughput-
1.0,1,1,4255.3
1.0,1,3,4160.1
1.0,1,6,4089.5
1.0,1,9,4156.9
1.0,1,12,4013.8
1.0,1,15,4194.1
1.0,1,18,3964.2
1.0,2,1,4294.7
1.0,2,3,4343.6
1.0,2,6,4423.6
1.0,2,9,4369.6
1.0,2,12,4288.1
1.0,2,15,4291.2
1.0,2,18,4236.2
1.0,3,1,4980.3
1.0,3,3,5058.6
1.0,3,6,4836.7
1.0,3,9,4786.9
1.0,3,12,4528.8
1.0,3,15,4767.6
1.0,3,18,4949.1
1.0,6,1,4904.2
1.0,6,3,5151.0
1.0,6,6,4847.1
1.0,6,9,4891.9
1.0,6,12,4871.0
1.0,6,15,4645.8
1.0,6,18,4688.1
10.0,1,1,8226.1
10.0,1,3,12697.0
10.0,1,6,14870.0
10.0,1,9,14807.0
10.0,1,12,15374.0
10.0,1,15,16019.0
10.0,1,18,15103.0
10.0,2,1,7006.2
10.0,2,3,14169.0
10.0,2,6,18462.0
10.0,2,9,18652.0
10.0,2,12,20233.0
10.0,2,15,19505.0
10.0,2,18,19335.0
10.0,3,1,8219.4
10.0,3,3,14591.0
10.0,3,6,15736.0
10.0,3,9,17161.0
10.0,3,12,17130.0
10.0,3,15,17209.0
10.0,3,18,16140.0
10.0,6,1,7524.2
10.0,6,3,16238.0
10.0,6,6,20089.0
10.0,6,9,20066.0
10.0,6,12,19528.0
10.0,6,15,19157.0
10.0,6,18,18380.0
100.0,1,1,8511.2
100.0,1,3,15515.0
100.0,1,6,18264.0
100.0,1,9,18652.0
100.0,1,12,20872.0
100.0,1,15,19875.0
100.0,1,18,20121.0
100.0,2,1,8746.0
100.0,2,3,18568.0
100.0,2,6,20814.0
100.0,2,9,24962.0
100.0,2,12,26373.0
100.0,2,15,25948.0
100.0,2,18,25565.0
100.0,3,1,8465.1
100.0,3,3,16941.0
100.0,3,6,20045.0
100.0,3,9,21448.0
100.0,3,12,20821.0
100.0,3,15,23240.0
100.0,3,18,21234.0
100.0,6,1,9214.4
100.0,6,3,20359.0
100.0,6,6,21587.0
100.0,6,9,23142.0
100.0,6,12,24892.0
100.0,6,15,23675.0
100.0,6,18,22884.0
1000.0,1,1,10038.0
1000.0,1,3,20050.0
1000.0,1,6,22015.0
1000.0,1,9,24910.0
1000.0,1,12,21808.0
1000.0,1,15,23497.0
1000.0,1,18,24392.0
1000.0,2,1,8666.8
1000.0,2,3,22289.0
1000.0,2,6,25805.0
1000.0,2,9,28129.0
1000.0,2,12,32399.0
1000.0,2,15,33549.0
1000.0,2,18,32815.0
1000.0,3,1,9973.9
1000.0,3,3,19036.0
1000.0,3,6,19858.0
1000.0,3,9,22911.0
1000.0,3,12,22122.0
1000.0,3,15,22132.0
1000.0,3,18,21701.0
1000.0,6,1,11583.0
1000.0,6,3,22423.0
1000.0,6,6,25492.0
1000.0,6,9,25870.0
1000.0,6,12,26596.0
1000.0,6,15,25833.0
1000.0,6,18,24255.0
10000.0,1,1,9689.1
10000.0,1,3,20072.0
10000.0,1,6,29612.0
10000.0,1,9,20060.0
10000.0,1,12,20300.0
10000.0,1,15,20936.0
10000.0,1,18,20440.0
10000.0,2,1,7431.5
10000.0,2,3,22333.0
10000.0,2,6,29437.0
10000.0,2,9,30161.0
10000.0,2,12,35418.0
10000.0,2,15,33155.0
10000.0,2,18,31933.0
10000.0,3,1,8683.1
10000.0,3,3,17617.0
10000.0,3,6,18757.0
10000.0,3,9,18710.0
10000.0,3,12,19488.0
10000.0,3,15,21523.0
10000.0,3,18,21380.0
10000.0,6,1,21157.0
10000.0,6,3,20442.0
10000.0,6,6,26660.0
10000.0,6,9,25202.0
10000.0,6,12,25977.0
10000.0,6,15,25530.0
10000.0,6,18,26558.0
100000.0,1,1,7473.9
100000.0,1,3,18689.0
100000.0,1,6,27212.0
100000.0,1,9,36900.0
100000.0,1,12,19390.0
100000.0,1,15,20828.0
100000.0,1,18,21145.0
100000.0,2,1,7217.6
100000.0,2,3,21514.0
100000.0,2,6,28808.0
100000.0,2,9,30669.0
100000.0,2,12,31491.0
100000.0,2,15,32561.0
100000.0,2,18,31825.0
100000.0,3,1,16832.0
100000.0,3,3,17911.0
100000.0,3,6,18216.0
100000.0,3,9,17859.0
100000.0,3,12,19842.0
100000.0,3,15,20932.0
100000.0,3,18,21527.0
100000.0,6,1,31179.0
100000.0,6,3,21251.0
100000.0,6,6,26583.0
100000.0,6,9,24757.0
100000.0,6,12,26315.0
100000.0,6,15,25927.0
100000.0,6,18,28650.0
1000000.0,1,1,43406.0
1000000.0,1,3,51949.0
1000000.0,1,6,41953.0
1000000.0,1,9,41829.0
1000000.0,1,12,54656.0
1000000.0,1,15,44024.0
1000000.0,1,18,50783.0
1000000.0,2,1,38992.0
1000000.0,2,3,44107.0
1000000.0,2,6,45856.0
1000000.0,2,9,47756.0
1000000.0,2,12,53037.0
1000000.0,2,15,51455.0
1000000.0,2,18,65823.0
1000000.0,3,1,26988.0
1000000.0,3,3,19133.0
1000000.0,3,6,19405.0
1000000.0,3,9,19266.0
1000000.0,3,12,20081.0
1000000.0,3,15,19319.0
1000000.0,3,18,20307.0
1000000.0,6,1,30522.0
1000000.0,6,3,20812.0
1000000.0,6,6,25226.0
1000000.0,6,9,26987.0
1000000.0,6,12,26474.0
1000000.0,6,15,25167.0
1000000.0,6,18,26933.0
