twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,Threads,ArnrMaxFrames,ArnrStrength,Cpu-
0,1,0,0,1,0,0,0,0,0,0,1,0,0,3.881844
0,1,0,0,1,0,0,0,0,0,0,2,0,0,3.863023
0,1,0,0,1,0,0,0,0,0,0,4,0,0,3.896279
0,1,0,0,1,0,0,0,0,0,0,8,0,0,3.940698
0,1,0,0,1,0,0,0,0,0,0,1,5,0,3.864857
0,1,0,0,1,0,0,0,0,0,0,2,5,0,3.845383
0,1,0,0,1,0,0,0,0,0,0,4,5,0,3.78093
0,1,0,0,1,0,0,0,0,0,0,8,5,0,3.926744
0,1,0,0,1,0,0,0,0,0,0,1,15,0,3.97003
0,1,0,0,1,0,0,0,0,0,0,2,15,0,3.879767
0,1,0,0,1,0,0,0,0,0,0,4,15,0,3.766544
0,1,0,0,1,0,0,0,0,0,0,8,15,0,3.936249
0,1,0,0,1,0,0,0,0,0,0,1,0,3,3.837359
0,1,0,0,1,0,0,0,0,0,0,2,0,3,3.839598
0,1,0,0,1,0,0,0,0,0,0,4,0,3,3.854854
0,1,0,0,1,0,0,0,0,0,0,8,0,3,3.873023
0,1,0,0,1,0,0,0,0,0,0,1,5,3,3.953721
0,1,0,0,1,0,0,0,0,0,0,2,5,3,3.913023
0,1,0,0,1,0,0,0,0,0,0,4,5,3,3.814884
0,1,0,0,1,0,0,0,0,0,0,8,5,3,3.839262
0,1,0,0,1,0,0,0,0,0,0,1,15,3,3.910232
0,1,0,0,1,0,0,0,0,0,0,2,15,3,3.868516
0,1,0,0,1,0,0,0,0,0,0,4,15,3,3.901283
0,1,0,0,1,0,0,0,0,0,0,8,15,3,3.903548
0,1,0,0,1,0,0,0,0,0,0,1,0,6,4.105506
0,1,0,0,1,0,0,0,0,0,0,2,0,6,3.909276
0,1,0,0,1,0,0,0,0,0,0,4,0,6,3.866744
0,1,0,0,1,0,0,0,0,0,0,8,0,6,3.848692
0,1,0,0,1,0,0,0,0,0,0,1,5,6,3.916423
0,1,0,0,1,0,0,0,0,0,0,2,5,6,3.732657
0,1,0,0,1,0,0,0,0,0,0,4,5,6,3.975049
0,1,0,0,1,0,0,0,0,0,0,8,5,6,3.866334
0,1,0,0,1,0,0,0,0,0,0,1,15,6,3.863721
0,1,0,0,1,0,0,0,0,0,0,2,15,6,4.036047
0,1,0,0,1,0,0,0,0,0,0,4,15,6,3.910307
0,1,0,0,1,0,0,0,0,0,0,8,15,6,3.877295
0,1,0,0,1,0,0,0,0,0,1,1,0,0,3.869776
0,1,0,0,1,0,0,0,0,0,1,2,0,0,3.906629
0,1,0,0,1,0,0,0,0,0,1,4,0,0,3.90711
0,1,0,0,1,0,0,0,0,0,1,8,0,0,3.859738
0,1,0,0,1,0,0,0,0,0,1,1,5,0,3.815116
0,1,0,0,1,0,0,0,0,0,1,2,5,0,3.749767
0,1,0,0,1,0,0,0,0,0,1,4,5,0,3.80123
0,1,0,0,1,0,0,0,0,0,1,8,5,0,3.92267
0,1,0,0,1,0,0,0,0,0,1,1,15,0,3.882791
0,1,0,0,1,0,0,0,0,0,1,2,15,0,3.789661
0,1,0,0,1,0,0,0,0,0,1,4,15,0,3.904598
0,1,0,0,1,0,0,0,0,0,1,8,15,0,4.071374
0,1,0,0,1,0,0,0,0,0,1,1,0,3,3.833678
0,1,0,0,1,0,0,0,0,0,1,2,0,3,3.91988
0,1,0,0,1,0,0,0,0,0,1,4,0,3,3.893521
0,1,0,0,1,0,0,0,0,0,1,8,0,3,3.901855
0,1,0,0,1,0,0,0,0,0,1,1,5,3,4.004611
0,1,0,0,1,0,0,0,0,0,1,2,5,3,3.920933
0,1,0,0,1,0,0,0,0,0,1,4,5,3,3.927518
0,1,0,0,1,0,0,0,0,0,1,8,5,3,3.871043
0,1,0,0,1,0,0,0,0,0,1,1,15,3,3.835167
