opt_useAddressPrecalc,opt_vectorize,simd_avoidUnaligned,data_alignFieldPointers,opt_unroll_interleave,opt_unroll,no_explorationId,explorationId,poly_tileSize_x,poly_tileSize_y,poly_tileSize_z,Fixed-compile-cpu-
0,0,0,0,0,1,1,0,0,0,0,4.011519
0,0,0,0,0,2,1,0,0,0,0,3.434159
0,0,0,0,0,3,1,0,0,0,0,3.809444
0,0,0,0,0,4,1,0,0,0,0,3.966666
0,0,0,0,0,1,0,1,0,0,0,5.86
0,0,0,0,0,2,0,1,0,0,0,7.771908
0,0,0,0,0,3,0,1,0,0,0,7.614904
0,0,0,0,0,4,0,1,0,0,0,7.770552
0,0,0,0,0,1,0,2,0,0,0,5.734
0,0,0,0,0,2,0,2,0,0,0,7.657081
0,0,0,0,0,3,0,2,0,0,0,6.679034
0,0,0,0,0,4,0,2,0,0,0,7.929655
0,0,0,0,0,1,0,3,0,0,0,5.604516
0,0,0,0,0,2,0,3,0,0,0,7.517871
0,0,0,0,0,3,0,3,0,0,0,7.175675
0,0,0,0,0,4,0,3,0,0,0,8.019197
0,0,0,0,0,1,0,4,0,0,0,5.599355
0,0,0,0,0,2,0,4,0,0,0,7.427097
0,0,0,0,0,3,0,4,0,0,0,6.874807
0,0,0,0,0,4,0,4,0,0,0,7.773462
0,0,0,0,0,1,0,1,8,0,0,6.109655
0,0,0,0,0,2,0,1,8,0,0,8.868114
0,0,0,0,0,3,0,1,8,0,0,7.568506
0,0,0,0,0,4,0,1,8,0,0,8.787863
0,0,0,0,0,1,0,2,8,0,0,6.334368
0,0,0,0,0,2,0,2,8,0,0,7.993855
0,0,0,0,0,3,0,2,8,0,0,7.589333
0,0,0,0,0,4,0,2,8,0,0,7.757374
0,0,0,0,0,1,0,3,8,0,0,5.742129
0,0,0,0,0,2,0,3,8,0,0,8.677037
0,0,0,0,0,3,0,3,8,0,0,7.146553
0,0,0,0,0,4,0,3,8,0,0,7.983823
0,0,0,0,0,1,0,4,8,0,0,5.702473
0,0,0,0,0,2,0,4,8,0,0,7.34916
0,0,0,0,0,3,0,4,8,0,0,7.1325
0,0,0,0,0,4,0,4,8,0,0,7.812414
0,0,0,0,0,1,0,1,10,0,0,6.024759
0,0,0,0,0,2,0,1,10,0,0,8.701681
0,0,0,0,0,3,0,1,10,0,0,7.539793
0,0,0,0,0,4,0,1,10,0,0,7.618586
0,0,0,0,0,1,0,2,10,0,0,6.18354
0,0,0,0,0,2,0,2,10,0,0,8.630972
0,0,0,0,0,3,0,2,10,0,0,7.59
0,0,0,0,0,4,0,2,10,0,0,7.946061
0,0,0,0,0,1,0,3,10,0,0,6.052666
0,0,0,0,0,2,0,3,10,0,0,8.614577
0,0,0,0,0,3,0,3,10,0,0,7.260645
0,0,0,0,0,4,0,3,10,0,0,7.421663
0,0,0,0,0,1,0,4,10,0,0,5.906495
0,0,0,0,0,2,0,4,10,0,0,7.842065
