journal,nojournal,journalCompression,journalCompressionSnappy,journalCompressionZlib,ssl,networkCompression,networkCompressionSnappy,networkCompressionZlib,wireObjectCheck,dataCompression,dataCompressionSnappy,dataCompressionZlib,indexPrefixCompression,journalCommitInterval,CacheSize,Cpu-
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.256,26.033276
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.512,24.958921
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.024,24.701132
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.048,24.124592
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.096,24.19921
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.256,30.631693
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.512,30.073811
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.024,30.275882
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2.048,30.53404
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4.096,29.917772
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.256,25.44205
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.512,24.679534
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.024,25.070289
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2.048,25.026757
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4.096,25.061845
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.256,30.962516
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.512,30.454914
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1.024,30.797619
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2.048,30.640518
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,4.096,30.557679
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.256,24.586929
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.512,24.917749
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.024,25.028118
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2.048,24.911732
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4.096,24.849742
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0.256,25.022671
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0.512,25.30422
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1.024,25.137431
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.048,24.903115
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4.096,25.199753
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.256,30.423311
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0.512,30.161273
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1.024,30.186136
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2.048,30.345291
0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,4.096,29.941261
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0.256,30.304057
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0.512,30.621609
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1.024,30.301911
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,2.048,30.496312
0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,4.096,30.184044
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0.256,24.653946
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0.512,24.822645
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1.024,24.987536
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2.048,25.164532
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,4.096,24.337605
0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0.256,24.75537
0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0.512,25.031688
0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1.024,25.123272
0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,2.048,24.740116
0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,4.096,25.278858
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.256,30.219659
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.512,30.420437
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1.024,30.145163
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,2.048,30.70664
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,4.096,30.148974
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0.256,30.495238
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0.512,30.90318
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1.024,30.633252
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,2.048,30.184496
0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,4.096,30.537924
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0.256,24.685063
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0.512,24.567789
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1.024,24.746515
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,2.048,25.176413
0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,4.096,24.356153
0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.256,30.242094
0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.512,30.205295
0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1.024,30.284951
0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,2.048,30.460006
0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,4.096,30.218708
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0.256,24.986941
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0.512,24.532657
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1.024,25.608956
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,2.048,24.963807
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,4.096,25.071206
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.256,29.935911
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.512,30.53882
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1.024,30.706119
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,2.048,30.551593
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,4.096,30.282475
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.256,24.661813
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.512,24.584319
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1.024,24.724537
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2.048,24.557631
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,4.096,24.586004
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0.256,24.98218
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0.512,25.470812
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1.024,25.392136
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,2.048,25.419784
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,4.096,25.117134
0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0.256,24.795979
0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0.512,24.579706
0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1.024,24.240494
0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,2.048,24.570647
0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,4.096,24.367131
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0.256,24.922222
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0.512,24.810095
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1.024,25.051341
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,2.048,25.18257
0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,4.096,24.415783
0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0.256,30.395898
0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0.512,30.551102
0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1.024,30.418417
0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,2.048,30.555646
0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,4.096,30.056939
0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0.256,29.510654
0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0.512,30.120171
0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1.024,30.434324
0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,2.048,30.466385
0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,4.096,30.100157
0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0.256,30.668369
0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0.512,30.774341
0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1.024,30.680043
0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,2.048,30.469611
0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,4.096,30.326538
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0.256,30.645351
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0.512,30.405687
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1.024,30.861526
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,2.048,30.28328
0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,4.096,30.409862
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.256,37.320837
1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.256,34.39023
1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.256,30.332472
1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.256,30.453204
1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.256,32.834795
1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0.256,30.435997
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.512,35.969504
1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.512,33.095087
