Clndrs,Volume,HpX,Model,origin,Mpg+
8,304.0,193,70,1,10
8,360.0,215,70,1,10
8,307.0,200,70,1,10
8,318.0,210,70,1,10
8,429.0,208,72,1,10
8,400.0,150,73,1,10
8,350.0,180,73,1,10
8,383.0,180,71,1,10
8,350.0,160,72,1,10
8,429.0,198,73,1,10
8,455.0,225,73,1,10
8,400.0,167,73,1,10
8,350.0,180,73,1,10
8,400.0,170,71,1,10
8,400.0,175,71,1,10
8,350.0,165,72,1,10
8,350.0,155,72,1,10
8,400.0,190,72,1,10
8,307.0,130,72,1,10
8,302.0,140,72,1,10
8,350.0,175,73,1,10
8,350.0,145,73,1,10
8,400.0,150,73,1,10
8,351.0,158,73,1,10
8,440.0,215,73,1,10
8,360.0,175,73,1,10
8,360.0,170,73,1,10
8,350.0,150,74,1,10
8,302.0,129,75,1,10
8,318.0,150,76,1,10
8,350.0,145,76,1,10
8,302.0,130,76,1,10
8,318.0,150,76,1,10
8,454.0,220,70,1,10
8,440.0,215,70,1,10
8,455.0,225,70,1,10
8,340.0,160,70,1,10
8,455.0,225,70,1,10
8,350.0,165,71,1,10
8,400.0,175,71,1,10
8,351.0,153,71,1,10
8,318.0,150,71,1,10
8,400.0,175,72,1,10
8,351.0,153,72,1,10
8,318.0,150,72,1,10
8,304.0,150,73,1,10
8,302.0,137,73,1,10
8,318.0,150,73,1,10
8,318.0,150,74,1,10
8,302.0,140,74,1,10
8,304.0,150,74,1,10
8,351.0,148,75,1,10
8,351.0,152,76,1,10
8,350.0,165,70,1,20
8,429.0,198,70,1,20
8,390.0,190,70,1,20
8,383.0,170,70,1,20
8,400.0,150,70,1,20
8,318.0,150,72,1,20
8,304.0,150,72,1,20
8,318.0,150,73,1,20
8,350.0,145,73,1,20
8,318.0,150,73,1,20
6,250.0,100,74,1,20
6,250.0,72,75,1,20
6,250.0,72,75,1,20
8,350.0,145,75,1,20
6,258.0,110,75,1,20
8,302.0,130,77,1,20
8,304.0,120,76,1,20
8,318.0,145,77,1,20
8,350.0,170,77,1,20
8,400.0,190,77,1,20
8,351.0,142,79,1,20
8,304.0,150,70,1,20
6,225.0,105,71,1,20
6,250.0,100,73,1,20
8,400.0,230,73,1,20
6,250.0,100,74,1,20
6,258.0,110,74,1,20
8,302.0,140,74,1,20
8,400.0,170,75,1,20
8,318.0,150,75,1,20
6,250.0,105,75,1,20
8,318.0,150,76,1,20
8,400.0,180,77,1,20
8,351.0,149,77,1,20
6,163.0,133,78,2,20
6,168.0,120,76,2,20
8,350.0,180,76,1,20
8,351.0,138,79,1,20
8,350.0,155,79,1,20
8,302.0,140,70,1,20
6,250.0,100,71,1,20
8,304.0,150,72,1,20
6,231.0,110,75,1,20
8,260.0,110,77,1,20
6,163.0,125,78,2,20
8,305.0,130,79,1,20
8,305.0,140,76,1,20
6,258.0,95,76,1,20
8,305.0,145,77,1,20
6,250.0,110,77,1,20
8,318.0,140,78,1,20
8,302.0,129,79,1,20
6,225.0,85,81,1,20
6,231.0,165,78,1,20
8,307.0,130,70,1,20
8,318.0,150,70,1,20
6,199.0,97,70,1,20
6,232.0,100,71,1,20
6,258.0,110,71,1,20
6,250.0,88,71,1,20
4,121.0,112,72,2,20
6,225.0,105,73,1,20
6,232.0,100,73,1,20
6,250.0,88,73,1,20
6,232.0,100,73,1,20
3,70.0,90,73,3,20
6,225.0,105,74,1,20
6,250.0,105,75,1,20
6,225.0,95,75,1,20
6,171.0,97,75,1,20
6,250.0,78,76,1,20
6,258.0,120,78,1,20
8,302.0,139,78,1,20
8,318.0,135,79,1,20
6,250.0,110,76,1,20
6,250.0,98,77,1,20
8,360.0,150,79,1,20
6,225.0,110,78,1,20
6,232.0,100,71,1,20
6,250.0,88,71,1,20
6,250.0,100,71,1,20
3,70.0,97,72,3,20
4,122.0,85,73,1,20
4,121.0,112,73,2,20
6,232.0,100,74,1,20
6,225.0,95,75,1,20
6,232.0,90,75,1,20
4,120.0,88,76,2,20
6,156.0,108,76,3,20
6,225.0,100,77,1,20
6,225.0,90,80,1,20
6,231.0,105,78,1,20
8,305.0,145,78,1,20
8,267.0,125,79,1,20
8,318.0,140,78,1,20
6,232.0,90,78,1,20
6,200.0,85,79,1,20
8,260.0,110,78,1,20
4,140.0,90,72,1,20
4,97.0,88,73,3,20
4,114.0,91,73,2,20
6,156.0,122,73,3,20
6,198.0,95,74,1,20
8,262.0,110,75,1,20
6,232.0,100,75,1,20
6,225.0,100,76,1,20
4,130.0,102,76,2,20
8,302.0,139,78,1,20
6,200.0,85,78,1,20
6,232.0,90,79,1,20
6,200.0,88,81,1,20
5,131.0,103,78,2,20
6,231.0,105,77,1,20
6,200.0,95,78,1,20
6,225.0,100,78,1,20
6,231.0,105,78,1,20
6,225.0,110,79,1,20
6,200.0,85,78,1,20
6,200.0,85,70,1,20
6,199.0,90,70,1,20
4,122.0,86,72,1,20
4,120.0,87,72,2,20
4,140.0,72,73,1,20
6,155.0,107,73,1,20
6,200.0,?,74,1,20
6,231.0,110,75,1,20
4,134.0,95,78,3,20
4,121.0,110,77,2,20
3,80.0,110,77,3,20
6,231.0,115,79,1,20
4,121.0,115,78,2,20
6,198.0,95,70,1,20
4,140.0,72,71,1,20
4,121.0,76,72,2,20
4,122.0,86,72,1,20
4,108.0,94,73,3,20
4,121.0,98,75,2,20
6,225.0,100,76,1,20
6,250.0,105,76,1,20
6,146.0,97,77,3,20
6,232.0,112,82,1,20
4,140.0,88,79,1,20
6,231.0,110,81,1,20
6,232.0,90,76,1,20
4,122.0,86,71,1,20
4,97.0,54,72,2,20
4,120.0,97,72,3,20
6,198.0,95,73,1,20
4,140.0,83,75,1,20
4,140.0,78,75,1,20
4,115.0,95,75,2,20
4,120.0,88,75,2,20
8,350.0,125,79,1,20
4,151.0,?,82,1,20
4,156.0,105,78,1,20
6,173.0,110,81,1,20
4,140.0,?,80,1,20
3,70.0,100,80,3,20
4,151.0,85,78,1,20
4,119.0,97,78,3,20
8,260.0,90,79,1,20
4,113.0,95,70,3,20
4,107.0,90,70,2,20
4,113.0,95,72,3,20
4,116.0,75,73,2,20
4,121.0,110,73,2,20
4,90.0,75,74,2,20
4,120.0,97,74,3,20
4,134.0,96,75,3,20
4,119.0,97,75,3,20
6,200.0,81,76,1,20
4,140.0,92,82,1,20
6,146.0,120,81,3,20
4,151.0,90,80,1,20
4,98.0,60,76,1,20
4,151.0,88,77,1,20
4,110.0,87,70,2,30
4,104.0,95,70,2,30
4,113.0,95,71,3,30
4,98.0,?,71,1,30
4,97.5,80,72,1,30
4,140.0,75,74,1,30
4,90.0,71,75,2,30
4,121.0,115,75,2,30
4,116.0,81,76,2,30
4,140.0,92,76,1,30
6,181.0,110,82,1,30
4,140.0,88,78,1,30
5,183.0,77,79,2,30
6,168.0,116,81,3,30
4,122.0,96,77,1,30
4,140.0,89,77,1,30
4,156.0,92,81,1,30
4,97.0,46,70,2,30
4,121.0,113,70,2,30
4,91.0,70,71,1,30
4,96.0,69,72,2,30
4,97.0,46,73,2,30
4,98.0,90,73,2,30
4,122.0,80,74,1,30
4,79.0,67,74,2,30
4,97.0,78,74,2,30
4,116.0,75,74,2,30
4,108.0,93,74,3,30
4,98.0,79,76,1,30
4,97.0,75,77,3,30
4,156.0,92,82,1,30
4,140.0,88,80,1,30
4,140.0,72,76,1,30
4,151.0,84,81,1,30
8,350.0,105,81,1,30
6,173.0,115,79,1,30
4,97.0,88,70,3,30
4,97.0,88,71,3,30
4,97.0,60,71,2,30
4,97.0,88,72,3,30
4,101.0,83,76,2,30
4,112.0,88,82,1,30
4,151.0,90,82,1,30
4,151.0,90,82,1,30
4,140.0,86,82,1,30
4,119.0,97,78,3,30
4,141.0,71,79,2,30
4,135.0,84,81,1,30
4,121.0,80,79,1,30
4,134.0,95,78,3,30
4,156.0,105,80,1,30
4,140.0,90,71,1,30
4,116.0,90,71,2,30
4,97.0,92,72,3,30
4,98.0,80,72,1,30
4,90.0,75,74,1,30
4,107.0,86,76,2,30
4,97.0,75,76,3,30
4,151.0,90,80,1,30
4,112.0,88,82,1,30
4,120.0,79,82,1,30
4,141.0,80,81,2,30
4,151.0,90,79,1,30
6,173.0,115,79,1,30
4,68.0,49,73,2,30
4,98.0,83,74,2,30
4,97.0,75,75,3,30
4,90.0,70,75,2,30
4,85.0,52,76,1,30
4,90.0,70,76,2,30
4,97.0,78,77,2,30
4,135.0,84,82,1,30
4,97.0,71,76,2,30
4,98.0,68,78,3,30
4,134.0,90,80,3,30
4,89.0,62,80,2,30
4,98.0,65,81,1,30
4,79.0,70,71,2,30
4,88.0,76,71,2,30
4,111.0,80,77,1,30
4,97.0,67,77,3,30
4,98.0,68,78,1,30
4,146.0,67,80,2,30
4,135.0,84,81,1,30
4,98.0,63,77,1,30
4,97.0,78,77,2,30
6,145.0,76,81,2,30
4,105.0,75,78,1,30
4,71.0,65,71,3,30
4,79.0,67,74,3,30
4,76.0,52,74,3,30
4,79.0,67,74,2,30
4,112.0,85,82,1,30
4,91.0,68,82,3,30
4,119.0,82,82,1,30
4,120.0,75,80,3,30
4,98.0,68,77,3,30
4,89.0,71,78,2,30
4,120.0,74,81,3,30
4,85.0,65,79,3,30
4,89.0,71,79,2,30
4,71.0,65,74,3,30
4,83.0,61,74,3,30
4,85.0,70,76,3,30
4,91.0,67,82,3,30
4,144.0,96,82,3,30
4,135.0,84,82,1,30
4,98.0,70,80,1,30
4,108.0,75,80,3,30
4,97.0,67,81,3,30
4,107.0,72,80,3,30
4,108.0,75,81,3,30
6,168.0,132,80,3,30
4,78.0,52,78,3,30
4,119.0,100,81,3,30
4,91.0,53,75,3,30
4,91.0,53,76,3,30
4,105.0,74,81,2,30
4,85.0,70,77,3,30
4,98.0,83,77,1,30
4,151.0,90,79,1,30
4,107.0,75,81,3,30
4,97.0,67,80,3,30
4,112.0,88,82,1,30
4,108.0,70,82,3,30
4,86.0,65,79,3,30
4,91.0,68,81,3,30
4,105.0,70,79,1,30
4,97.0,78,80,2,30
4,98.0,65,81,1,30
4,105.0,70,79,1,30
4,100.0,?,81,2,30
4,105.0,63,81,1,30
4,72.0,69,71,3,40
4,122.0,88,80,2,40
4,81.0,60,81,3,40
4,98.0,80,79,1,40
4,79.0,58,77,2,40
4,105.0,74,82,2,40
4,98.0,70,82,1,40
4,120.0,88,82,3,40
4,107.0,75,82,3,40
4,135.0,84,82,1,40
4,98.0,66,78,1,40
4,91.0,60,78,3,40
5,121.0,67,80,2,40
4,119.0,92,80,3,40
4,85.0,65,81,3,40
4,91.0,68,82,3,40
4,86.0,65,80,3,40
4,91.0,69,79,2,40
4,89.0,62,81,3,40
4,105.0,63,82,1,40
4,91.0,67,82,3,40
4,91.0,67,82,3,40
6,262.0,85,82,1,40
4,89.0,60,80,3,40
4,86.0,64,81,1,40
4,79.0,58,81,3,40
4,85.0,70,78,3,40
4,85.0,65,80,3,40
4,85.0,?,80,2,40
4,98.0,76,80,2,40
4,90.0,48,78,2,40
4,90.0,48,80,2,40
4,97.0,52,82,2,40
4,90.0,48,80,2,40
4,91.0,67,80,3,40
4,86.0,65,80,3,50
