N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,ACC+
40,squared_error,3,2.75,10,-13.07
190,squared_error,18,4.25,6,-12.35
130,squared_error,1,0.75,15,-11.9
170,squared_error,17,4.25,13,-12.77
180,absolute_error,17,6.75,14,-0.55
200,squared_error,19,4.25,1,-12.26
130,squared_error,3,2.5,17,-11.86
30,poisson,6,9.25,10,-13.09
190,absolute_error,8,8.25,2,-0.52
90,squared_error,8,5.5,4,-12.64
80,squared_error,13,6.0,17,-12.3
10,poisson,1,5.5,9,-11.97
190,squared_error,9,3.5,5,-12.07
40,squared_error,1,0.25,19,-12.3
120,poisson,5,6.5,10,-12.76
150,poisson,2,6.25,9,-12.31
180,poisson,19,0.5,6,-12.19
190,squared_error,10,3.75,2,-12.46
160,squared_error,1,4.5,8,-12.34
180,poisson,10,1.25,10,-12.31
40,absolute_error,5,9.5,16,0.0
190,poisson,1,2.75,14,-11.92
200,squared_error,9,5.0,5,-12.46
140,poisson,5,6.0,3,-12.74
60,squared_error,20,6.0,3,-12.97
100,poisson,6,3.5,2,-11.37
110,absolute_error,12,3.5,11,0.0
60,squared_error,17,1.5,18,-12.1
120,absolute_error,2,2.5,11,-1.59
170,absolute_error,13,8.0,18,-0.58
30,squared_error,11,6.75,1,-11.4
10,squared_error,1,6.75,5,-10.5
150,squared_error,12,1.5,1,-12.67
20,squared_error,16,2.25,3,-12.24
50,squared_error,4,4.5,7,-12.5
150,squared_error,14,5.5,18,-12.81
120,squared_error,1,4.75,3,-12.17
140,absolute_error,8,6.25,14,-0.7
80,squared_error,16,9.25,20,-13.04
160,absolute_error,1,7.0,9,-0.61
50,absolute_error,9,2.0,5,0.0
110,absolute_error,4,2.5,18,-0.88
70,poisson,16,4.5,14,-12.35
180,poisson,12,1.25,11,-12.71
10,absolute_error,5,8.5,19,0.0
30,squared_error,20,3.75,19,-12.32
100,squared_error,6,3.75,1,-12.83
100,absolute_error,13,3.25,13,0.0
100,poisson,16,4.75,11,-12.42
20,squared_error,16,7.0,10,-11.26
180,poisson,18,8.75,3,-12.31
120,poisson,18,2.75,2,-13.11
170,poisson,14,10.0,2,-12.56
60,absolute_error,17,9.0,5,0.0
10,poisson,11,3.75,2,-15.02
140,absolute_error,17,1.75,13,0.0
70,absolute_error,18,4.0,7,0.0
90,poisson,10,2.0,7,-12.56
120,squared_error,3,2.0,1,-12.59
140,squared_error,15,0.25,15,-12.29
170,poisson,18,3.0,1,-12.39
200,absolute_error,18,0.5,15,0.0
190,poisson,4,6.5,17,-12.43
100,squared_error,18,7.5,19,-12.32
40,poisson,12,3.0,13,-12.24
90,absolute_error,12,5.0,15,-2.08
10,absolute_error,11,5.25,7,0.0
70,absolute_error,7,5.25,2,0.0
30,squared_error,4,6.75,7,-11.69
30,squared_error,3,5.25,5,-12.76
90,poisson,16,8.0,10,-12.5
150,absolute_error,7,4.25,12,0.0
140,absolute_error,18,4.75,14,0.0
160,squared_error,5,8.0,5,-11.95
40,squared_error,19,3.5,15,-12.3
120,absolute_error,4,7.25,3,0.0
100,poisson,20,3.0,6,-12.96
130,absolute_error,17,8.0,14,0.0
160,absolute_error,4,2.5,5,0.0
160,squared_error,13,2.75,15,-12.73
100,poisson,3,4.5,11,-12.68
200,squared_error,12,0.75,16,-12.47
180,squared_error,13,1.0,12,-12.79
30,squared_error,9,9.75,6,-12.32
40,poisson,6,2.5,16,-12.43
140,squared_error,6,7.0,3,-12.41
60,poisson,2,6.0,12,-12.46
80,absolute_error,3,8.5,12,0.0
160,squared_error,18,5.75,10,-13.02
120,absolute_error,19,2.5,17,0.0
180,absolute_error,10,1.5,9,0.0
140,squared_error,6,1.25,5,-12.31
150,squared_error,13,6.25,5,-12.96
110,absolute_error,12,4.75,17,0.0
130,absolute_error,9,9.75,8,0.0
190,poisson,11,7.25,4,-12.77
40,absolute_error,7,6.25,2,-2.33
30,absolute_error,20,4.5,20,0.0
30,absolute_error,13,9.5,13,0.0
80,poisson,20,6.25,5,-12.69
110,absolute_error,10,4.5,15,-1.72
20,poisson,13,0.0,2,-12.63
40,squared_error,5,4.75,19,-12.1
20,absolute_error,5,3.0,9,0.0
100,squared_error,16,7.25,6,-12.68
80,squared_error,2,4.5,15,-12.4
10,squared_error,14,1.25,18,-13.25
50,squared_error,1,2.0,14,-12.4
60,squared_error,16,0.0,20,-12.59
150,poisson,20,1.75,5,-12.6
110,squared_error,9,1.5,4,-12.04
20,squared_error,9,8.25,18,-11.11
10,absolute_error,5,7.5,18,0.0
170,squared_error,20,9.25,13,-12.56
110,absolute_error,11,5.25,20,0.0
130,poisson,15,9.25,11,-12.4
50,poisson,2,9.75,5,-12.96
10,squared_error,10,6.75,2,-12.76
30,squared_error,3,1.25,8,-13.17
170,squared_error,13,0.0,7,-12.25
170,poisson,8,3.5,15,-12.22
150,poisson,12,7.75,9,-12.76
150,absolute_error,4,1.25,2,0.0
90,absolute_error,18,5.5,5,0.0
140,poisson,2,8.75,17,-12.1
50,absolute_error,15,0.0,11,0.0
110,poisson,2,8.75,18,-12.24
160,poisson,12,8.5,3,-12.79
80,squared_error,4,2.5,13,-11.97
120,absolute_error,12,7.5,13,-0.81
130,poisson,15,9.0,15,-12.8
30,absolute_error,10,4.75,8,0.0
90,poisson,10,7.75,15,-11.56
130,squared_error,4,6.0,16,-12.3
70,poisson,12,4.5,15,-12.0
20,squared_error,13,3.75,10,-12.76
30,squared_error,4,2.5,14,-14.03
110,squared_error,6,1.25,11,-12.96
170,squared_error,1,3.5,13,-12.62
